date,theme,stock,price,chg,volume,value_mil,reason
2026-06-16,건설 대표주,대우건설,"27,450",+19.87%,47888125,1296995,"대우건설
												시공능력 상위의 대형종합건설업체. 도로, 철도 등 사회기반시설을 건설하는 토목사업과 아파트, 오피스텔, 오피스 등을 건설하는 주택건축사업, Oil&Gas 관련 시설 및 발전소, 산업설비를 건설하는 플랜트사업, 투자자산 매입을 동반하는 국내외 투자개발(부동산, IPP, PPP, 미래유망사업 지분투자)을 수행하는 기타사업을 영위. '푸르지오', '써밋(SUMMIT)' 등의 브랜드를 보유."
2026-06-16,건설 대표주,DL이앤씨,"89,400",+13.16%,2248195,200698,"DL이앤씨
												기존 대림산업(현 DL)에서 건설사업 부문이 인적 분할되어 재상장된 업체. 주요 사업으로 토목, 주택, 플랜트, 발전/환경사업 등을 영위하고 있으며, 'e편한세상' 브랜드와 'ACRO' 하이엔드 주거 브랜드를 보유."
2026-06-16,건설 대표주,GS건설,"31,850",+5.29%,4570551,147878,"GS건설
												GS그룹 계열의 국내 선두권 대형 종합건설업체. 플랜트(석유정제설비 등), 건축/주택(""자이"" 아파트 브랜드 보유), 인프라(도로, 철도 등), 신성장사업(해외개발사업, 모듈러주택 등) 등을 영위. 정유 및 석유화학 플랜트사업 부문에서 세계 최고 수준의 경쟁력을 보유."
2026-06-16,건설 대표주,현대건설,"147,800",+1.93%,1894314,282811,"현대건설
												현대자동차 계열의 국내 대표적인 종합건설업체. '힐스테이트(HILLSTATE)' 브랜드와 '디에이치(THE H)' 프리미엄 브랜드 등을 보유. 주요사업은 토목 부문(터널, 교량, 도로공사, 택지조성, 철구조물 제작 및 설치 등), 건축/주택 부문(공공건축물 및 초고층빌딩, 아파트 등), 플랜트 부문(석유화학, 담수, 신산업 플랜트, 송ㆍ변전, 전기공사, 원자력 공사, 태양광 발전, 해상풍력발전 등), 기타 부문(부동산 개발, 소프트웨어 설치, 축산업, 부동산임대, 휴양콘도 운영업 등)임."
2026-06-16,건설 대표주,IPARK현대산업개발,"20,750",+1.72%,284360,5927,"IPARK현대산업개발
												기존 현대산업에서 건설사업 등이 인적분할되어 재상장된 업체. 주력부문인 건설사업에서 우수한 브랜드(IPARK) 파워를 바탕으로 자체 분양사업은 물론, 재개발/재건축, 민간 개발형 도급사업 등을 꾸준히 수주하여 업계 상위권의 시장지위를 유지."
2026-06-16,건설 대표주,삼성물산,"497,000",+0.40%,480155,237208,"삼성물산
												삼성그룹 계열의 국내 최대의 종합상사이자 상위권의 대형 건설업체. 건설부문은 국내외의 건축, 토목, 플랜트, 주택 분야의 사업을 영위."
2026-06-16,풍력에너지,씨에스윈드,"56,800",+29.83%,2399924,124108,"씨에스윈드
												당사와 연결종속회사는 풍력타워 생산 및 타워내부 부품, 베어링 등 풍력타워 부품 생산과 해상풍력 하부구조물 생산 사업을 운영. 한국 본사를 기반으로 베트남, 미국, 포르투갈, 중국, 터키, 대만에서 풍력타워 생산법인을 운영하며 유럽, 미국, 아시아 등 전세계 시장에 육상 및 해상 풍력타워를 공급, 납품. 풍력 발전타워의 설치 지역(육상/해상), 현지 기후 특성등에 따른 고객의 주문에 맞춰 다품종 생산을 기반으로 함."
2026-06-16,풍력에너지,씨에스베어링,"5,860",+29.79%,1892287,10326,"씨에스베어링
												풍력발전 베어링 전문업체. 블레이드와 로터를 연결하고 지지하는 역할을 하는 풍력용 피치 베어링과 수평축 풍력 발전기의 요 시스템 중 중요한 요소 중 하나인 요 베어링을 주력 제품으로 생산."
2026-06-16,풍력에너지,SK오션플랜트,"21,450",+26.92%,7339728,149155,"SK오션플랜트
												해상풍력 구조물 등 해상풍력 사업 영위. 해상용 풍력발전기의 지지장치, 8MW급 부유식 해상풍력시스템 개발."
2026-06-16,풍력에너지,태웅,"41,850",+22.37%,1019433,40508,"태웅
												풍력산업에 사용되는 단조부품을 생산. 풍력발전용 Main Shaft, Tower Flange 등을 생산하여 세계 전문풍력업체에 납품중."
