date,theme,chg,chg_3d,value_mil,value_eok,count
2026-06-23,서울고속버스터미널 재개발 수혜,+3.22%,-2.83%,178849,1788.5,5
2026-06-23,시멘트/레미콘,+1.80%,-0.34%,111489,1114.9,15
2026-06-23,"주류업(주정, 에탄올 등)",+1.22%,+1.23%,75002,750.0,13
2026-06-23,편의점,+0.13%,-2.85%,38236,382.4,5
2026-06-23,기업인수목적회사(SPAC),+0.10%,-0.12%,7295,73.0,72
2026-06-23,日제품 불매운동(수혜),-0.95%,-0.43%,101844,1018.4,20
2026-06-23,남-북-러 가스관사업,-1.26%,-1.93%,120455,1204.5,13
2026-06-23,은행,-1.47%,-2.90%,745379,7453.8,11
2026-06-23,홈쇼핑,-1.60%,-2.81%,34525,345.2,5
2026-06-23,여름,-1.82%,-0.88%,188870,1888.7,28
2026-06-23,건강기능식품,-1.93%,-2.14%,124069,1240.7,44
2026-06-23,리츠(REITs),-2.01%,-1.24%,10622,106.2,22
2026-06-23,"스포츠행사 수혜(올림픽, 월드컵 등)",-2.07%,-2.38%,17423,174.2,9
2026-06-23,통신,-2.10%,-1.97%,151471,1514.7,3
2026-06-23,마스크,-2.27%,-0.86%,26890,268.9,22
2026-06-23,화학섬유,-2.28%,-3.34%,43050,430.5,6
2026-06-23,철강 중소형,-2.59%,-1.12%,346825,3468.2,36
2026-06-23,도시가스,-2.75%,-1.79%,12942,129.4,9
2026-06-23,국내 상장 중국기업,-2.91%,-0.72%,16762,167.6,11
2026-06-23,부동산 보유 자산주,-2.96%,-2.64%,231924,2319.2,22
2026-06-23,음식료업종,-2.97%,-1.95%,241448,2414.5,66
2026-06-23,출산장려정책,-2.97%,-2.61%,12084,120.8,23
2026-06-23,아프리카 돼지열병(ASF),-3.06%,-1.67%,97441,974.4,31
2026-06-23,자원개발,-3.12%,-1.82%,610278,6102.8,14
2026-06-23,육계,-3.17%,-3.09%,11444,114.4,9
2026-06-23,소매유통,-3.23%,-2.93%,206173,2061.7,20
2026-06-23,윤활유,-3.23%,-1.55%,106255,1062.5,7
2026-06-23,콩/대두,-3.24%,-2.38%,1341,13.4,5
2026-06-23,LPG(액화석유가스),-3.29%,-2.14%,114613,1146.1,9
2026-06-23,제약업체,-3.32%,-2.09%,682869,6828.7,86
2026-06-23,제지,-3.39%,-2.05%,4458,44.6,14
2026-06-23,환율하락 수혜,-3.42%,-2.39%,488657,4886.6,23
2026-06-23,DMZ 평화공원,-3.49%,-2.54%,30835,308.4,18
2026-06-23,엔젤산업,-3.51%,-2.40%,13772,137.7,26
2026-06-23,구제역/광우병 수혜,-3.59%,-2.03%,16827,168.3,20
2026-06-23,렌터카,-3.64%,-1.74%,3344,33.4,4
2026-06-23,겨울,-3.65%,-2.33%,96112,961.1,22
2026-06-23,카카오뱅크(kakao BANK),-3.65%,-2.62%,469280,4692.8,11
2026-06-23,골프,-3.66%,-1.36%,16141,161.4,15
2026-06-23,손해보험,-3.68%,-2.30%,146561,1465.6,8
2026-06-23,패션/의류,-3.72%,-2.29%,736674,7366.7,59
2026-06-23,재난/안전(지진/화재 등),-3.72%,-2.90%,22503,225.0,21
2026-06-23,가상화폐(비트코인 등),-3.76%,-2.43%,107797,1078.0,25
2026-06-23,항공/저가 항공사(LCC),-3.77%,-3.09%,79446,794.5,9
2026-06-23,여행,-3.79%,-1.70%,12625,126.2,9
2026-06-23,유전자 치료제/분석,-3.79%,-4.03%,92039,920.4,42
2026-06-23,제대혈,-3.81%,-3.54%,14794,147.9,5
2026-06-23,화장품,-3.82%,-2.70%,542559,5425.6,92
2026-06-23,미디어(방송/신문),-3.83%,-1.94%,4556,45.6,11
2026-06-23,"백신/진단시약/방역(신종플루, AI 등)",-3.86%,-2.93%,112082,1120.8,43
2026-06-23,미용기기,-3.89%,-2.36%,305535,3055.3,19
2026-06-23,키오스크(KIOSK),-3.98%,-2.65%,35081,350.8,10
2026-06-23,SNS(소셜네트워크서비스),-3.99%,-2.65%,425336,4253.4,10
2026-06-23,인터넷은행,-4.07%,-2.60%,588192,5881.9,31
2026-06-23,태풍 및 장마,-4.09%,-2.15%,9528,95.3,10
2026-06-23,주유소,-4.10%,-1.96%,158491,1584.9,15
2026-06-23,사료,-4.23%,-2.16%,6958,69.6,18
2026-06-23,종합 물류,-4.24%,-2.87%,70071,700.7,16
