종목명,종목코드,현재가,등락률(%),시장
3S,060310,1525,+4.88,KOSDAQ
AJ네트웍스,095570,5090,-3.96,KOSPI
AK홀딩스,006840,8390,-1.99,KOSPI
APS,054620,6890,+0.88,KOSDAQ
APS이노베이션,079810,6530,-2.10,KOSDAQ
AP시스템,265520,26050,-0.57,KOSDAQ
AP위성,211270,17490,+5.30,KOSDAQ
BF랩스,139050,432,+15.82,KOSDAQ
BGF,027410,5290,+0.95,KOSPI
BGF리테일,282330,132400,+0.30,KOSPI
BGF에코머티리얼즈,126600,4250,+0.95,KOSDAQ
BNK금융지주,138930,18200,-2.83,KOSPI
BYC,001460,50800,+0.79,KOSPI
BYC우,001465,33900,-0.29,KOSPI
CG인바이츠,083790,1210,-3.82,KOSDAQ
CJ,001040,224500,+0.00,KOSPI
CJ CGV,079160,4965,+0.61,KOSPI
CJ ENM,035760,54200,+0.18,KOSDAQ
CJ 바이오사이언스,311690,7840,+0.64,KOSDAQ
CJ4우(전환),00104K,193000,+0.52,KOSPI
CJ대한통운,000120,101300,+0.20,KOSPI
CJ씨푸드,011150,2700,-0.55,KOSPI
CJ씨푸드1우,011155,13250,-0.08,KOSPI
CJ우,001045,90800,+0.78,KOSPI
CJ제일제당,097950,241000,-2.23,KOSPI
CJ제일제당 우,097955,137800,-0.93,KOSPI
CJ프레시웨이,051500,28050,-2.60,KOSDAQ
CMG제약,058820,1716,-3.27,KOSDAQ
CNT85,056730,514,+0.00,KOSDAQ
CR홀딩스,000480,5040,-1.56,KOSPI
CS,065770,1584,+0.00,KOSDAQ
CSA 코스믹,083660,393,-9.66,KOSDAQ
CS홀딩스,000590,80200,-0.25,KOSPI
DB,012030,1970,-1.99,KOSPI
DB금융스팩12호,477760,2230,+0.00,KOSDAQ
DB손해보험,005830,166800,-0.48,KOSPI
DB증권,016610,14510,+6.22,KOSPI
DB하이텍,000990,161700,+2.02,KOSPI
DGI,099520,1284,+0.00,KOSDAQ
DH오토넥스,000300,4200,+0.00,KOSPI
DH오토리드,290120,3115,-5.46,KOSDAQ
DH오토웨어,025440,919,+12.90,KOSDAQ
DI동일,001530,30500,+1.50,KOSPI
DKME,015590,515,+0.00,KOSPI
DL,000210,67400,-5.73,KOSPI
DL우,000215,29250,-3.47,KOSPI
DL이앤씨,375500,91300,-7.78,KOSPI
DL이앤씨2우(전환),37550L,54400,-7.80,KOSPI
DL이앤씨우,37550K,29450,-4.07,KOSPI
DMS,068790,8330,+0.60,KOSDAQ
DN오토모티브,007340,51100,+6.35,KOSPI
DRB동일,004840,5280,-2.04,KOSPI
DSC인베스트먼트,241520,17260,+1.17,KOSDAQ
DSR,155660,4600,+2.11,KOSPI
DSR제강,069730,5730,+1.60,KOSPI
DS단석,017860,23900,-0.42,KOSPI
DXVX,180400,4355,-5.84,KOSDAQ
DYP,092780,5220,+2.96,KOSPI
E1,017940,104400,-3.60,KOSPI
E8,418620,1480,+0.48,KOSDAQ
EDGC,245620,415,+0.00,KOSDAQ
EG,037370,5450,-3.37,KOSDAQ
ESR켄달스퀘어리츠,365550,4385,-3.09,KOSPI
ES큐브,050120,2940,+2.80,KOSDAQ
F&F,383220,76600,+14.50,KOSPI
F&F홀딩스,007700,20250,+5.47,KOSPI
FSN,214270,2020,-1.46,KOSDAQ
GC메디아이,032620,4025,-0.86,KOSDAQ
GH신소재,130500,2520,-2.70,KOSDAQ
GKL,114090,12380,+2.65,KOSPI
GRT,900290,4100,+5.67,KOSDAQ
GS,078930,80900,-1.22,KOSPI
GST,083450,50100,+3.30,KOSDAQ
GS건설,006360,35950,-5.52,KOSPI
GS글로벌,001250,4665,-8.71,KOSPI
GS리테일,007070,23050,-1.91,KOSPI
GS우,078935,57100,-1.38,KOSPI
GS피앤엘,499790,55200,-0.18,KOSPI
HB솔루션,297890,2360,+2.61,KOSDAQ
HB인베스트먼트,440290,2185,-2.46,KOSDAQ
HB테크놀러지,078150,3095,+8.60,KOSDAQ
HC보광산업,225530,3500,-9.79,KOSDAQ
HC홈센타,060560,3505,-9.31,KOSDAQ
HDC,012630,28100,+0.00,KOSPI
HDC랩스,039570,8340,-0.60,KOSPI
HDC현대EP,089470,5780,+6.06,KOSPI
HD건설기계,267270,191100,+3.92,KOSPI
HD한국조선해양,009540,469500,+1.73,KOSPI
HD현대,267250,302500,-2.58,KOSPI
HD현대마린솔루션,443060,269500,+1.51,KOSPI
HD현대마린엔진,071970,107100,+1.23,KOSPI
HD현대에너지솔루션,322000,221000,-4.33,KOSPI
HD현대일렉트릭,267260,1299000,+3.75,KOSPI
HD현대중공업,329180,680000,-0.73,KOSPI
HEM파마,376270,61500,+2.84,KOSDAQ
HJ중공업,097230,28800,-0.69,KOSPI
HK이노엔,195940,52000,-0.76,KOSDAQ
HL D&I,014790,3450,-2.82,KOSPI
HLB,028300,60900,+0.16,KOSDAQ
HLB글로벌,003580,2210,+0.23,KOSPI
HLB바이오스텝,278650,1272,+0.00,KOSDAQ
HLB생명과학,067630,4240,+1.56,KOSDAQ
