분,종목명,L일봉H,현재가,대비,,등락률,거래량,메모,종목코드
신,에스에이엠티,11200 14300 11200 14300,"14,300",↑,"3,300","30.00","6,542,896",,'031330
신,삼지전자,38550 49650 37000 49650,"49,650",↑,"11,450","29.97","1,667,513",,'037460
신,한국쉘석유,484000 620500 474000 555000,"555,000",▲,"72,000","14.91","89,044",,'002960
신,두산로보틱스,108100 138800 107900 132100,"132,100",▲,"25,300","23.69","18,629,986","원엑시아 품은 두산로보틱스..글로벌 로봇 노린다 두산로보틱스가 미국 로봇 시스템 기업 원엑시아를 품고 글로벌 로봇시장에 도전한다. 북미 판매 기회를 확대하는 것은 물론 두산로보틱스의 하드웨어와 원엑시아의 소프트웨어 기술력을 합쳐 사업 다각화에 나서는 셈이다. 지능형 로봇 솔루션 중심 사업 모델로 진화가 목표다. 두산로보틱스는 지난 17일 원엑시아 89.59%를 374억원 규모 현금을 주고 취득했다. 두산로보틱스는 잔여지분에 대한 콜옵션(살수 있는 권리)도 보유했다. 원엑시아는 1984년에 설립됐다. 협동로봇 기반의 솔루션, 자동화 시스템 사업을 영위하고 있다. 미국 핵심 공업지대인 펜실베니아에 거점을 확보, 현지 기업에 자동화 시스템 설계·제조·설치까지 원스톱으로 제공하고 있다. 자체적인 솔루션 개발·제조·판매망을 보유하고 있는 것이 강점이다. 최근 북미 지역에서 수요가 높은 EOL(공정의 마지막 단계) 공정 관련 자체 협동로봇 제조 솔루션 개발에도 성공했다.",'454910
신,한선엔지니어링,24400 29300 23600 28900,"28,900",▲,"4,650","19.18","2,201,551","수소 및 고체산화물 연료전지(SOFC) 관련주  0. 영위 사업 내용 (약 100자) 계측장비용 피팅(관이음쇠) 및 밸브 전문 제조 기업입니다. 석유화학, 조선 등 전통 산업은 물론, 수소, ESS(에너지저장장치), 반도체, 에너지 등 4대 신전략 산업 분야로 공급을 확대하고 있습니다.  1. 핵심 재료 요약 (50자 이내) 수소 및 고체산화물 연료전지(SOFC) 테마 상승 시 부각  2. 추가 주요 내용  SOFC (고체산화물 연료전지): 글로벌 연료전지 기업인 '블룸에너지(Bloom Energy)'에 연료 배분 기능을 하는 피팅과 플럼빙 모듈을 공급하는 점이 시장에서 부각됩니다.  시설 투자: 2024년 9월, 매출 확대에 따른 추가 공장 증축 및 보관물류시스템 구축을 위해 550억 원 규모의 신규 시설 투자를 결정한 바 있습니다.  수소: 수소 자동차 연료 공급 부품 인증(KGS)을 획득하는 등 수소 산업 관련 기술력을 보유하고 있습니다.  3. 최근 [특징주] 기사 현황  [2025.09.23, [특징주], 한선엔지니어링-고체산화물 연료전지(SOFC) 테마 상승세에 9.13% ↑, +9.13%, 링크]  [2025.03.05, [특징주] 한선엔지니어링, 美 수조 달러 규모의 가스관 개발 투자 소식에 급등, (기사 내 '급등' 표기), 링크]  [2024.11.18, [특징주] 한선엔지니어링, 블룸에너지-美 1위 전력 업체 'SOFC' 계약 체결에 강세, (기사 내 '강세' 표기), 링크]  [2024.09.09, [특징주]한선엔지니어링, 공장 증측 등 550억 시설투자에 4%대↑, +4%대, 링크]  삼성SDI, LG엔솔 ESS직분사 소화설비",'452280
신,하나마이크론,48000 55500 46300 52900,"52,900",▲,"8,300","18.61","13,222,883","하나마이크론은 반도체 슈퍼사이클의 수혜가 기대되는 국내 1위 OSAT(반도체 후공정) 기업입니다.  중요 내용 하나마이크론은 반도체 패키징과 테스트 등 후공정 분야를 전문으로 하는 기업으로, 삼성전자, SK하이닉스 등을 주요 고객사로 두고 있습니다.  최근 메모리 반도체 수요 증가와 D램 가격 급등에 따른 '반도체 슈퍼사이클'의 대표적인 수혜주로 꼽히고 있습니다.  2025년 3분기 실적은 매출액 3966억원, 영업이익 400억원으로 시장 전망치를 상회할 것으로 예상됩니다. 이는 베트남 법인의 견조한 메모리 수요와 브라질 법인의 수익성 개선에 따른 것입니다.  과거 논란이 되었던 인적분할 계획을 철회한 바 있습니다.  최근 [특징주] 기사 2025년 10월 13일 [특징주] 하나마이크론, “슈퍼사이클 탄 K-메모리” 삼성·SK 호실적 유력에 낙수효과 '콸콸' 기사에서 전일 대비 14.58% 상승한 27,900원에 장을 마감했습니다.   (VCSEL)수직표면 발광레이져 광원의 핵심원천기술 개발  하나마이크론은 반도체 패키징(후공정), 테스트 전문기업이다. 앞서 한 언론보도에 따르면 삼성전자가 후공정 경쟁력 강화를 위해 하나마이크론에 1000억원 규모 설비임대 논의를 진행하고 있는 것으로 전해졌다.",'067310
신,자화전자,49400 60000 46100 55900,"55,900",▲,"8,100","16.95","2,618,324","(25.12.04)자화전자, 구미 공장 두 배 증설…“액추에이터 공급 확대” 자화전자는 글로벌 액추에이터 공급망 핵심 기업이다.애플·삼성전자 등 유수의 스마트폰 기업에 고성능 액추에이터를 공급하고 있다.이번 구미 공장 증설은 주요 고객사 수요에 대응하기 위한 것이다.자화전자는 구미 공장에서 애플에 납품하는 액추에이터를 생산 중인 것으로 전해졌다.이번 증설은 애플에서 요청하는 물량이 많아지면서 결정을 내린 것으로 풀이된다. 생산능력을 고려했을 때 상당한 금액의 추가 투자가 이뤄질 것으로 관측된다.업계 관계자는 “자화전자가 대규모 액추에이터 공급 능력을 앞세워 스마트폰 시장 성과를 극대화할 것”이라며 “스마트폰 뿐 아니라 자동차·로봇 등 미래 먹거리 발굴에도 주력하고 있다”고 전했다.",'033240
신,에스앤디,58700 68000 56600 67000,"67,000",▲,"9,200","15.92","275,052",,'260970
증,미래에셋 인버스 2X 반도체 ETN,6580 7770 6470 7575,"7,575",▲,"1,015","15.47","3,650,212",,'520099
신,노바렉스,15710 18450 15590 17050,"17,050",▲,"1,940","12.84","2,013,677",,'194700
