분,종목명,L일봉H,현재가,대비,,등락률,거래량,거래대금,메모,종목코드
펀,SOL SK하이닉스선물단일종목인버스2X,9040 10545 8565 10545,"10,545",▲,"2,715","34.67","229,525,942","2,116,746",,'0197X0
환,비엘팜텍,2795 3535 2750 3535,"3,535",↑,"815","29.96","7,978,968","26,734",,'065170
신,삼기에너지솔루션즈,1496 1944 1406 1944,"1,944",↑,"448","29.95","26,293,095","46,993",엔드플레이트 제품 LG엔솔 납품,'419050
신,마키나락스,17000 21300 16930 21300,"21,300",↑,"4,890","29.80","4,276,080","84,245",,'477850
신,칩스앤미디어,11300 15800 11300 15260,"15,260",▲,"3,100","25.49","6,139,015","89,369",NPU (신경처리장치) : 엔비디아 AI GPU 대체 설계,'094360
증,선도전기,5350 6640 5250 6300,"6,300",▲,"1,190","23.29","13,089,604","80,586",,'007610
신,우원개발,3245 4270 3190 3805,"3,805",▲,"520","15.83","8,787,845","34,493","토목, 지하철, 지반시설",'046940
신,영원무역,74500 89000 72700 82600,"82,600",▲,"8,400","11.32","268,827","22,499",,'111770
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
,,,"",,"","","","",,
